message,label
"I'm a car guy, recommend me some scents that fit that vibe.",1
"I need something for prom that isn't too overpowering.",1
"I like fresh but not too sweet scents.",1
"Looking for a fragrance for long workdays in a small office.",1
"I prefer luxury perfumes only.",1
"What's a good oud for someone who hates heavy musk?",1
"I want to smell like a forest after it rains.",1
"Suggest a perfume for a 20-year-old guy's first date.",1
"Best vanilla scents that don't smell like a cupcake?",1
"I'm looking for a gift for my mom, she likes white florals.",1
"What are the best summer fragrances for high humidity?",1
"I need a scent that screams 'boss' for a big presentation.",1
"Does anyone still wear vintage Chanel No. 5?",1
"Looking for a budget-friendly alternative to Baccarat Rouge 540.",1
"Is Dior Sauvage too basic for a club night?",1
"I want something spicy and warm for winter nights.",1
"What's a good aquatic scent that actually lasts more than 2 hours?",1
"I'm a minimalist. Give me a 'skin scent' recommendation.",1
"My skin chemistry turns everything sour, help!",1
"Looking for a wedding scent that matches a beach theme.",1
"I love the smell of coffee. Are there any perfumes with that note?",1
"What should I wear to a funeral that's respectful but nice?",1
"Recommend me a fragrance that smells like expensive leather.",1
"I'm a student on a budget, what's a good versatile scent?",1
"Looking for something gourmand but with a bit of spice.",1
"Is Santal 33 worth the hype or is it overplayed?",1
"I need a perfume that makes me feel confident at the gym.",1
"What's the best flanker in the YSL Libre line?",1
"I want to smell like a dark, mysterious library.",1
"Are there any perfumes that smell like fresh laundry?",1
"Looking for a rose perfume that isn't 'old lady' style.",1
"I'm going to a music festival, need something that won't cloy in heat.",1
"Recommend a masculine floral for someone who usually wears woods.",1
"I'm a gardener, I want a scent that smells like real tomato vines.",1
"What's the difference between EDP and EDT for Bleu de Chanel?",1
"Looking for a niche fragrance that nobody else will be wearing.",1
"I want a scent that matches a black-tie gala event.",1
"Can you suggest a citrus scent that doesn't smell like cleaning product?",1
"I love sandalwood. What are the best sandalwood-forward scents?",1
"I need a pick-me-up scent for early morning shifts.",1
"Looking for a unisex fragrance for a couple to share.",1
"What's a good blind buy for someone who likes powdery notes?",1
"Is there a perfume that smells like the ocean but not salty?",1
"I'm looking for a signature scent that I can wear year-round.",1
"Recommend something with a strong sillage for outdoor parties.",1
"I want a perfume that features tea as a main note.",1
"What fragrance should I wear with a leather jacket?",1
"Looking for a cheapie that smells like a million bucks.",1
"I'm a nurse, I need something very light and unobtrusive.",1
"What's the best Tom Ford fragrance for a cold autumn day?",1
"I want to smell like a tropical vacation—think coconut and lime.",1
"Is it okay to wear heavy gourmands in the summer?",1
"Looking for a fragrance for a 50th birthday gift.",1
"I'm a goth, recommend me something dark and incense-heavy.",1
"What's a good starter niche brand for beginners?",1
"I need a perfume for a job interview in a creative field.",1
"Something with tobacco and honey notes please.",1
"I'm looking for a scent that smells like a cold mountain breeze.",1
"What's a good perfume to wear to a baseball game?",1
"I want a fragrance that features jasmine but isn't too indolic.",1
"Looking for a scent that pairs well with a linen suit.",1
"I'm a bridesmaid, what's a soft romantic scent for the day?",1
"Is there a perfume that smells like a bookstore?",1
"Recommend a fragrance for a high-end dinner party.",1
"I want a scent that's polarizing—either love it or hate it.",1
"What's the best lavender fragrance for sleep and relaxation?",1
"I'm looking for a citrus fragrance that actually has good longevity.",1
"Suggest a scent for a coastal grandmother aesthetic.",1
"What's a good perfume for a rainy day in the city?",1
"I need something for a first date that's inviting but not thirsty.",1
"Looking for a green scent that smells like mown grass.",1
"I'm a fan of patchouli, but not the 'hippie' kind. Suggestions?",1
"What fragrance fits a 'clean girl' aesthetic best?",1
"I want a perfume that smells like a campfire.",1
"Looking for a gift for a teenage girl who likes sweet things.",1
"What's a good scent for a rainy afternoon reading a book?",1
"I need a fragrance that won't give my coworkers a headache.",1
"I'm looking for a scent with a strong ginger note.",1
"Recommend something for a winter wedding in the mountains.",1
"I want to smell like a bouquet of peonies.",1
"Is there a scent that captures the vibe of the 1970s?",1
"Looking for a perfume that smells like champagne.",1
"I'm a teacher, I need something approachable and friendly.",1
"What's the best iris-based fragrance for men?",1
"I want something that smells like a luxury hotel lobby.",1
"Looking for a fragrance with a 'lipsticky' or 'makeup' vibe.",1
"I'm a hiker, I want a scent that smells like cedar and pine.",1
"What should I wear to a summer rooftop bar?",1
"Looking for a scent that smells like solar notes and sunblock.",1
"I want a perfume that smells like a spicy chai latte.",1
"Suggest a fragrance for a 'dark academia' vibe.",1
"I need a scent for a formal court appearance.",1
"Looking for a perfume with a prominent pear note.",1
"I'm a skater, I want something casual and cool.",1
"What's a good fragrance for a night at the opera?",1
"I want a scent that smells like petrichor.",1
"Looking for a perfume that features vetiver but isn't too dry.",1
"I'm a yoga instructor, I need something calming and earthy.",1
"What fragrance fits a 'yacht club' lifestyle?",1
"I want something that smells like a bakery.",1
"Looking for a scent that is mostly amber and benzoin.",1
"I'm a fashion student, give me something avant-garde.",1
"What's the best 'blue' fragrance on the market right now?",1
"I want a perfume that smells like a botanical garden.",1
"Looking for a scent for a weekend getaway in the woods.",1
"I'm a gamer, suggest something I can wear while streaming.",1
"What's a good fragrance for a graduation ceremony?",1
"I want something with a very prominent metallic note.",1
"Looking for a perfume that smells like a cherry soda.",1
"I'm a chef, I need a scent that won't interfere with food aromas.",1
"What's the best lilac perfume available?",1
"I want to smell like a mediterranean lemon grove.",1
"Looking for a scent that is cozy like a cashmere sweater.",1
"I'm a scientist, I want something sharp and intellectual.",1
"What fragrance should I wear to a rock concert?",1
"I want a perfume that smells like a peach orchard.",1
"Looking for a scent that's heavy on the black pepper.",1
"I'm a dad, I want a classic 'barbershop' scent.",1
"What's a good fragrance for a housewarming party?",1
"I want something that smells like a wet mossy stone.",1
"Looking for a perfume with a really good plum note.",1
"I'm a bartender, I need something that can cut through smoke and booze.",1
"What's the most romantic perfume for an anniversary?",1
"I want to smell like a fig tree in the sun.",1
"Looking for a fragrance that features tuberose.",1
"I'm a digital nomad, I need a versatile travel fragrance.",1
"What's a good scent for a morning jog?",1
"I want a perfume that smells like a vintage carnival.",1
"Looking for a fragrance that is salty and balsamic.",1
"I'm a lawyer, I need something that commands respect.",1
"What fragrance fits a 'cottagecore' vibe?",1
"I want something that smells like a cold gin and tonic.",1
"Looking for a perfume with a great rhubarb note.",1
"I'm a dog walker, I need something fresh for outdoors.",1
"What's the best fragrance for a winter bonfire?",1
"I want a perfume that smells like a blooming orange grove.",1
"Looking for a scent that is very '90s nostalgia.",1
"I'm a pilot, give me something airy and light.",1
"What's a good fragrance for a first day at a new job?",1
"I want something that smells like a field of sunflowers.",1
"Looking for a perfume with a strong musk base.",1
"I'm a real estate agent, I want to smell professional but inviting.",1
"What fragrance should I wear to a gallery opening?",1
"I want a perfume that smells like a strawberry patch.",1
"Looking for a scent that is dark, resinous, and gothic.",1
"I'm a student athlete, I need a long-lasting freshie.",1
"What's a good fragrance for a holiday family dinner?",1
"I want something that smells like a expensive spa.",1
"Looking for a perfume with a prominent carnation note.",1
"I'm a writer, I want a scent that helps me focus.",1
"What fragrance fits a 'steampunk' aesthetic?",1
"I want a perfume that smells like a sea breeze on a cliff.",1
"Looking for a scent that is basically just pure sandalwood oil.",1
"I'm a barista, I want something that smells like cocoa and hazelnut.",1
"What's the best fragrance for a spring picnic?",1
"I want to smell like a dusty antique shop.",1
"Looking for a perfume with a very realistic lily of the valley.",1
"I'm a surfer, I want something that smells like wax and salt.",1
"What fragrance should I wear to a spa day?",1
"I want a perfume that smells like a midnight garden.",1
"Looking for a scent that is bright, zesty, and sparkling.",1
"I'm a DJ, give me something loud and proud.",1
"What's a good fragrance for a quiet night in?",1
"I want something that smells like a freshly opened magazine.",1
"Looking for a perfume with a strong saffron note.",1
"I'm a programmer, I need something subtle for the office.",1
"What fragrance fits a 'royalty' or 'old money' vibe?",1
"I want a perfume that smells like a thunderstorm.",1
"Looking for a scent that is very animalic and bold.",1
"I'm a librarian, I want a scent that smells like paper and ink.",1
"What's the best fragrance for a baby shower?",1
"I want something that smells like a pine forest in winter.",1
"Looking for a perfume with a honey and beeswax vibe.",1
"I'm a florist, I want a scent that smells like a green greenhouse.",1
"What fragrance should I wear to a jazz club?",1
"I want a perfume that smells like a warm apple pie.",1
"Looking for a scent that is very metallic and cold.",1
"I'm a personal trainer, I want something that smells clean and energetic.",1
"What's a good fragrance for a weekend brunch?",1
"I want something that smells like a luxury yacht.",1
"Looking for a perfume with a dominant neroli note.",1
"I'm a doctor, I need a scent that is hygienic but pleasant.",1
"What fragrance fits a 'cyberpunk' vibe?",1
"I want a perfume that smells like a herb garden.",1
"Looking for a scent that is very powdery and vintage.",1
"I'm a construction worker, I need something that can handle sweat.",1
"What's the best fragrance for a red carpet event?",1
"I want something that smells like a pomegranate.",1
"Looking for a perfume with a realistic grapefruit note.",1
"I'm a designer, I want something minimalist and chic.",1
"What fragrance should I wear to a baptism?",1
"I want a perfume that smells like a blooming violet field.",1
"Looking for a scent that is very earthy and root-like.",1
"I'm an actor, give me something that helps me get into character.",1
"What's a good fragrance for a summer wedding?",1
"I want something that smells like a cedar chest.",1
"Looking for a perfume with a strong frankincense note.",1
"I'm a gardener, I want a scent that smells like potting soil and rain.",1
"What fragrance fits a 'preppy' lifestyle?",1
"I want a perfume that smells like a vanilla orchid.",1
"Looking for a scent that is very ozonic and airy.",1
"I'm a retired professional, I want a timeless classic.",1
"What's the best fragrance for a mountain hike?",1
"I want something that smells like a almond biscotti.",1
"Looking for a perfume with a prominent magnolia note.",1
"I'm a hair stylist, I want something that smells like expensive shampoo.",1
"What fragrance should I wear to a broadway show?",1
"I want a perfume that smells like a spice market in Marrakech.",1
"Looking for a scent that is very green and leafy.",1
"I'm a sales rep, I want something that makes me seem trustworthy.",1
"What's a good fragrance for a beach bonfire?",1
"I want something that smells like a old bookstore in London.",1
"Looking for a perfume with a strong leather and smoke combo.",1
"I'm a college student, I want something trendy but not too pricey.",1
"What fragrance fits a 'grunge' aesthetic?",1
"I want a perfume that smells like a rose in the rain.",1
"Looking for a scent that is very clean and soapy.",1
"I'm a surfer girl, give me something coconut and sea salt.",1
"What's the best fragrance for a winter formal?",1
"I want something that smells like a peach bellini.",1
"Looking for a perfume with a prominent eucalyptus note.",1
"I'm a therapist, I need something very calming for my clients.",1
"What fragrance should I wear to a costume party?",1
"I want a perfume that smells like a mediterranean coast.",1
"Looking for a scent that is very balsamic and sweet.",1
"I'm a stay-at-home mom, I want a little luxury for my day.",1
"What's a good fragrance for a winery tour?",1
"I want something that smells like a freshly cut christmas tree.",1
"Looking for a perfume with a strong tonka bean base.",1
"I'm a journalist, I want a scent that feels professional and sharp.",1
"What fragrance fits a 'boho' vibe?",1
"I want a perfume that smells like a lavender field in Provence.",1
"Looking for a scent that is very spicy and exotic.",1
"I'm a fitness influencer, I want something that smells like energy.",1
"What's the best fragrance for a black tie event?",1
"I want something that smells like a expensive box of chocolates.",1
"Looking for a perfume with a prominent ylang-ylang note.",1
"I'm a historian, I want a scent that smells like old parchment.",1
"What fragrance should I wear to a family reunion?",1
"I want a perfume that smells like a desert after rain.",1
"Looking for a scent that is very citrusy and bright.",1
"I'm a photographer, I want something creative and unique.",1
"What's a good fragrance for a spring day in the city?",1
"I want something that smells like a luxury car interior.",1
"Looking for a perfume with a strong ambergris note.",1
"I'm a teenager, I want something that smells like candy.",1
"What fragrance fits a 'minimalist' aesthetic?",1
"I want a perfume that smells like a blooming jasmine night.",1
"Looking for a scent that is very woody and dry.",1
"I'm a corporate executive, I want a scent that projects power.",1
"What's the best fragrance for a tropical holiday?",1
"I want something that smells like a fresh cucumber.",1
"Looking for a perfume with a prominent raspberry note.",1
"I'm a artist, give me something that smells like paint and turpentine.",1
"What fragrance should I wear to a garden party?",1
"I want a perfume that smells like a smoky club in Berlin.",1
"Looking for a scent that is very aquatic and salty.",1
"I'm a startup founder, I want something modern and disruptive.",1
"What's a good fragrance for a fall wedding?",1
"I want something that smells like a warm gingerbread cookie.",1
"Looking for a perfume with a strong guaiac wood note.",1
"I'm a fashion blogger, I want the 'it' fragrance of the season.",1
"What fragrance fits a 'dark romance' vibe?",1
"I want a perfume that smells like a bunch of peonies.",1
"Looking for a scent that is very sharp and zesty.",1
"I'm a chef, I want something that smells like fresh herbs.",1
"What's the best fragrance for a first date in a coffee shop?",1
"I want something that smells like a luxury hotel suite.",1
"Looking for a perfume with a prominent freesia note.",1
"I'm a yoga student, I want something that smells like palo santo.",1
"What fragrance should I wear to a museum?",1
"I want a perfume that smells like a blooming rose bush.",1
"Looking for a scent that is very warm and resinous.",1
"I'm a digital artist, I want something futuristic and synthetic.",1
"What's a good fragrance for a winter day at home?",1
"I want something that smells like a apple harvest.",1
"Looking for a perfume with a strong labdanum note.",1
"I'm a cyclist, I want something light and refreshing.",1
"What fragrance fits a 'vintage glam' aesthetic?",1
"I want a perfume that smells like a sea salt caramel.",1
"Looking for a scent that is very floral and airy.",1
"I'm a real estate mogul, I want a scent that smells like money.",1
"What's the best fragrance for a city break?",1
"I want something that smells like a freshly baked baguette.",1
"Looking for a perfume with a prominent mimosa note.",1
"I'm a makeup artist, I want a scent that smells like face powder.",1
"What fragrance should I wear to a outdoor concert?",1
"I want a perfume that smells like a cedar forest in the sun.",1
"Looking for a scent that is very spicy and aromatic.",1
"I'm a flight attendant, I need a scent that is universally liked.",1
"What's a good fragrance for a autumn walk?",1
"I want something that smells like a expensive cigar lounge.",1
"Looking for a perfume with a strong benzoin note.",1
"I'm a college professor, I want something classic and dignified.",1
"What fragrance fits a 'scandi-chic' aesthetic?",1
"I want a perfume that smells like a blooming orange tree.",1
"Looking for a scent that is very clean and crisp.",1
"I'm a hiker, give me something that smells like the great outdoors.",1
"What's the best fragrance for a spring morning?",1
"I want something that smells like a mango lassi.",1
"Looking for a perfume with a prominent heliotrope note.",1
"I'm a therapist, I want a scent that is grounding and earthy.",1
"What fragrance should I wear to a formal dinner?",1
"I want a perfume that smells like a mediterranean garden.",1
"Looking for a scent that is very sweet and gourmand.",1
"I'm a new dad, I want a scent that is comforting.",1
"What's a good fragrance for a summer day at the park?",1
"I want something that smells like a pine forest.",1
"Looking for a perfume with a strong civet note.",1
"I'm a journalist, I want a scent that is bold and inquiring.",1
"What fragrance fits a 'quiet luxury' vibe?",1
"I want a perfume that smells like a blooming lily.",1
"Looking for a scent that is very dark and smoky.",1
"I'm a personal shopper, I want to smell sophisticated.",1
"What's the best fragrance for a winter night out?",1
"I want something that smells like a box of macarons.",1
"Looking for a perfume with a prominent osmanthus note.",1
"I'm a architect, I want something structured and precise.",1
"What fragrance should I wear to a wedding reception?",1
"I want a perfume that smells like a cedar wood cabin.",1
"Looking for a scent that is very green and herbal.",1
"I'm a social media manager, I want something trendy.",1
"What's a good fragrance for a rainy morning?",1
"I want something that smells like a expensive leather bag.",1
"Looking for a perfume with a strong castoreum note.",1
"I'm a scientist, I want something clean and clinical.",1
"What fragrance fits a 'maximalist' aesthetic?",1
"I want a perfume that smells like a blooming gardenia.",1
"Looking for a scent that is very aquatic and fresh.",1
"I'm a dancer, I want something that moves with me.",1
"What's the best fragrance for a autumn evening?",1
"I want something that smells like a warm chai tea.",1
"Looking for a perfume with a prominent hyacinth note.",1
"I'm a baker, I want a scent that smells like vanilla and yeast.",1
"What fragrance should I wear to a art fair?",1
"I want a perfume that smells like a pine tree in the rain.",1
"Looking for a scent that is very spicy and warm.",1
"I'm a travel agent, I want something that smells like exotic places.",1
"What's a good fragrance for a summer night out?",1
"I want something that smells like a luxury spa resort.",1
"Looking for a perfume with a strong myrrh note.",1
"I'm a history buff, I want a scent that smells like a old library.",1
"What fragrance fits a 'sporty' lifestyle?",1
"I want a perfume that smells like a blooming cherry blossom.",1
"Looking for a scent that is very woody and earthy.",1
"I'm a lawyer, I want a scent that is sharp and persuasive.",1
"What's the best fragrance for a spring evening?",1
"I want something that smells like a fresh lemon tart.",1
"Looking for a perfume with a prominent narcissus note.",1
"I'm a gardener, I want a scent that smells like fresh herbs.",1
"What fragrance should I wear to a cocktail party?",1
"I want a perfume that smells like a cedar forest in winter.",1
"Looking for a scent that is very sweet and fruity.",1
"I'm a stay at home dad, I want something easy and fresh.",1
"What's a good fragrance for a winter morning?",1
"I want something that smells like a expensive chocolate bar.",1
"Looking for a perfume with a strong elemi note.",1
"I'm a librarian, I want a scent that is quiet and calming.",1
"What fragrance fits a 'eclectic' aesthetic?",1
"I want a perfume that smells like a blooming jasmine vine.",1
"Looking for a scent that is very clean and minimal.",1
"I'm a surfer, give me something that smells like the ocean.",1
"What's the best fragrance for a autumn day?",1
"I want something that smells like a warm apple cider.",1
"Looking for a perfume with a prominent champaca note.",1
"I'm a psychologist, I want a scent that is empathetic and warm.",1
"What fragrance should I wear to a dinner with friends?",1
"I want a perfume that smells like a mediterranean village.",1
"Looking for a scent that is very dark and resinous.",1
"I'm a entrepreneur, I want a scent that is confident and bold.",1
"What's a good fragrance for a spring day?",1
"I want something that smells like a luxury hotel.",1
"Looking for a perfume with a strong opoponax note.",1
"I'm a writer, I want a scent that is inspiring.",1
"What fragrance fits a 'classic' lifestyle?",1
"I want a perfume that smells like a blooming rose.",1
"Looking for a scent that is very woody and masculine.",1
"I'm a student, I want a scent that is fun and energetic.",1
"What's the best fragrance for a summer day?",1
"I want something that smells like a fresh strawberry.",1
"Looking for a perfume with a prominent tagetes note.",1
"I'm a chef, I want a scent that is clean and fresh.",1
"What fragrance should I wear to a family dinner?",1
"I want a perfume that smells like a cedar forest.",1
"Looking for a scent that is very spicy and bold.",1
"I'm a teacher, I want a scent that is friendly and warm.",1
"What's a good fragrance for a winter evening?",1
"I want something that smells like a expensive perfume.",1
"Looking for a perfume with a strong styrax note.",1
"I'm a nurse, I want a scent that is light and clean.",1
"What fragrance fits a 'modern' aesthetic?",1
"I want a perfume that smells like a blooming flower.",1
"Looking for a scent that is very aquatic and clean.",1
"I'm a athlete, I want something that is fresh and sporty.",1
"What's the best fragrance for a spring night?",1
"I want something that smells like a warm vanilla bean.",1
"Looking for a perfume with a prominent artemisia note.",1
"I'm a artist, I want a scent that is unique and creative.",1
"What fragrance should I wear to a party?",1
"I want a perfume that smells like a mediterranean beach.",1
"Looking for a scent that is very dark and mysterious.",1
"I'm a businessman, I want a scent that is professional and sharp.",1
"What's a good fragrance for a autumn night?",1
"I want something that smells like a luxury car.",1
"Looking for a perfume with a strong galbanum note.",1
"I'm a student, I want a scent that is trendy and cool.",1
"What fragrance fits a 'bohemian' lifestyle?",1
"I want a perfume that smells like a blooming garden.",1
"Looking for a scent that is very woody and warm.",1
"I'm a doctor, I want a scent that is clean and professional.",1
"What's the best fragrance for a winter day?",1
"I want something that smells like a fresh orange.",1
"Looking for a perfume with a prominent cassia note.",1
"I'm a fashionista, I want a scent that is stylish.",1
"What fragrance should I wear to a wedding?",1
"I want a perfume that smells like a cedar tree.",1
"Looking for a scent that is very spicy and fresh.",1
"I'm a musician, I want a scent that is bold and expressive.",1
"What's a good fragrance for a spring day out?",1
"I want something that smells like a expensive watch.",1
"Looking for a perfume with a strong cade note.",1
"I'm a pilot, I want a scent that is light and airy.",1
"What fragrance fits a 'urban' aesthetic?",1
"I want a perfume that smells like a blooming orchid.",1
"Looking for a scent that is very clean and fresh.",1
"I'm a traveler, I want something that is versatile.",1
"What's the best fragrance for a summer night?",1
"I want something that smells like a warm cup of coffee.",1
"Looking for a perfume with a prominent broom note.",1
"I'm a scientist, I want a scent that is precise and sharp.",1
"What fragrance should I wear to a formal event?",1
"I want a perfume that smells like a mediterranean island.",1
"Looking for a scent that is very dark and bold.",1
"I'm a creative director, I want a scent that is innovative.",1
"What's a good fragrance for a autumn day out?",1
"I want something that smells like a luxury suite.",1
"Looking for a perfume with a strong cypress note.",1
"I'm a historian, I want a scent that is timeless.",1
"What fragrance fits a 'luxurious' lifestyle?",1
"I want a perfume that smells like a blooming peony.",1
"Looking for a scent that is very woody and clean.",1
"I'm a coach, I want a scent that is motivating.",1
"What's the best fragrance for a spring day?",1
"I want something that smells like a fresh grapefruit.",1
"Looking for a perfume with a prominent boronia note.",1
"I'm a designer, I want a scent that is aesthetic.",1
"What fragrance should I wear to a gala?",1
"I want a perfume that smells like a cedar forest.",1
"Looking for a scent that is very spicy and aromatic.",1
"I'm a chef, I want a scent that is herbaceous.",1
"What's a good fragrance for a winter night?",1
"I want something that smells like a expensive hotel.",1
"Looking for a perfume with a strong fir note.",1
"I'm a writer, I want a scent that is evocative.",1
"What fragrance fits a 'minimalist' lifestyle?",1
"I want a perfume that smells like a blooming jasmine.",1
"Looking for a scent that is very aquatic and salty.",1
"I'm a student, I want a scent that is fresh.",1
"What's the best fragrance for a summer day out?",1
"I want something that smells like a warm apple pie.",1
"Looking for a perfume with a prominent calamus note.",1
"I'm a therapist, I want a scent that is soothing.",1
"What fragrance should I wear to a concert?",1
"I want a perfume that smells like a mediterranean cliff.",1
"Looking for a scent that is very dark and smoky.",1
"I'm a journalist, I want a scent that is professional.",1
"What's a good fragrance for a autumn evening out?",1
"I want something that smells like a luxury car interior.",1
"Looking for a perfume with a strong juniper note.",1
"I'm a professor, I want a scent that is intellectual.",1
"What fragrance fits a 'chic' aesthetic?",1
"I want a perfume that smells like a blooming tulip.",1
"Looking for a scent that is very clean and soapy.",1
"I'm a photographer, I want a scent that is artistic.",1
"What's the best fragrance for a spring evening out?",1
"I want something that smells like a fresh pear.",1
"Looking for a perfume with a prominent ambrette note.",1
"I'm a nurse, I want a scent that is comforting.",1
"What fragrance should I wear to a birthday party?",1
"I want a perfume that smells like a cedar grove.",1
"Looking for a scent that is very spicy and sweet.",1
"I'm a traveler, give me something that smells like adventure.",1
"What's a good fragrance for a winter day out?",1
"I want something that smells like a expensive cigar.",1
"Looking for a perfume with a strong pine note.",1
"I'm a student, I want a scent that is cool.",1
"What fragrance fits a 'modern' lifestyle?",1
"I want a perfume that smells like a blooming violet.",1
"Looking for a scent that is very woody and dry.",1
"I'm a artist, I want a scent that is bold.",1
"What's the best fragrance for a summer morning?",1
"I want something that smells like a fresh peach.",1
"Looking for a perfume with a prominent angelica note.",1
"I'm a doctor, I want a scent that is trustworthy.",1
"What fragrance should I wear to a dinner party?",1
"I want a perfume that smells like a mediterranean sun.",1
"Looking for a scent that is very dark and resinous.",1
"I'm a businessman, I want a scent that is confident.",1
"What's a good fragrance for a autumn afternoon?",1
"I want something that smells like a luxury yacht.",1
"Looking for a perfume with a strong teak wood note.",1
"I'm a fashion blogger, I want a scent that is trendy.",1
"What fragrance fits a 'glamorous' lifestyle?",1
"I want a perfume that smells like a blooming lily of the valley.",1
"Looking for a scent that is very clean and crisp.",1
"I'm a athlete, I want a scent that is energetic.",1
"What's the best fragrance for a spring afternoon?",1
"I want something that smells like a warm gingerbread.",1
"Looking for a perfume with a prominent basil note.",1
